id,Fecha,Dia_Semana,type,url,street,city,postalCode,raoSocial,latitude,longitude,minutsLatitude,minutsLongitude,RENTADOR,CANVI,SUPER,LAVABO,PARKING,VENDING,GASOIL A,GASOLINA S/P 95,GASOLINA S/P 98,ADBLUE
G025,24-03-21,Wednesday,BENZINERA,https://www.bonarea.com/benzinera/G025,"Pg Industrial les Eres, Parcela 7","ESPLUGA DE FRANCOLI, L'",43440,E.S. bon¿rea Espluga de FrancolÌ G025,41.40298,1.10438,41∞ 24' 10'',1∞ 06' 15'',1,1,,1,,,1.038,1.179,,
G026,24-03-21,Wednesday,BENZINERA,https://www.bonarea.com/benzinera/G026,"C/MATARO,CANTONADA SOT DELS PRADALS",VIC,8500,E.S. bon¿rea Vic G026,41.93972,2.24909,41∞ 56' 22'',2∞ 14' 56'',1,,,1,,,1.038,1.179,,0.35
G027,24-03-21,Wednesday,BENZINERA,https://www.bonarea.com/benzinera/G027,Pol.Ind ELS SALACONS P A1/A4,SORT,25560,E.S. bon¿rea Sort G027,42.409381,1.130549,42∞ 24' 33'',1∞ 07' 49'',1,1,,,,1,1.043,1.184,,
G028,24-03-21,Wednesday,BENZINERA,https://www.bonarea.com/benzinera/G028,CRTA C-12 CRUILLA C-233,FLIX,43750,E.S. bon¿rea Flix G028,41.23952,0.55105,41∞ 14' 22'',0∞ 33' 03'',1,1,,1,,,1.042,1.183,,0.35
G029,24-03-21,Wednesday,BENZINERA,https://www.bonarea.com/benzinera/G029,"Pol.Id. Plans de Jort,c/Lleida,parcela 4",MONTBLANC,43400,E.S. bon¿rea Montblanc G029,41.386742,1.156869,41∞ 23' 12'',1∞ 09' 24'',1,,,1,,,1.038,1.179,,
G030,24-03-21,Wednesday,BENZINERA,https://www.bonarea.com/benzinera/G030,"PG Ind. Els Colomers, C/ Lleida, 35",GOLMES,25241,E.S. bon¿rea GolmÈs G030,41.63032,0.91403,41∞ 37' 49'',0∞ 54' 50'',1,1,,,,,1.039,1.18,,
G031,24-03-21,Wednesday,BENZINERA,https://www.bonarea.com/benzinera/G031,"Pg.Ind.Camins Nou,Parc.1",MORA D'EBRE,43740,E.S. bon¿rea MÛra d'Ebre G031,41.084624,0.626256,41∞ 05' 04'',0∞ 37' 34'',1,1,,1,,,1.041,1.182,,0.35
G032,24-03-21,Wednesday,BENZINERA,https://www.bonarea.com/benzinera/G032,Ctra N-240 Km 133,BINEFAR,22500,E.S. bon¿rea BinÈfar G032,41.85528,0.28294,41∞ 51' 19'',0∞ 16' 58'',1,1,,1,,,1.043,1.184,,0.35
G033,24-03-21,Wednesday,BENZINERA,https://www.bonarea.com/benzinera/G033,"Pol. Ind. de Torrefarrera,C/Marinada S/N",TORREFARRERA,25123,E.S. bon¿rea Torrefarrera G033,41.664056,0.604624,41∞ 39' 50'',0∞ 36' 16'',1,1,1,1,1,,1.04,1.181,1.219,0.35
G034,24-03-21,Wednesday,BENZINERA,https://www.bonarea.com/benzinera/G034,"POLIGONO INDUSTRIAL SUB 7 BIS,PARCELA 2",FRAGA,22520,E.S. bon¿rea Fraga G034,41.525054,0.367624,41∞ 31' 30'',0∞ 22' 03'',1,1,,,,,1.041,1.182,,0.35
G035,24-03-21,Wednesday,BENZINERA,https://www.bonarea.com/benzinera/G035,"C/EUGENIO DE USANDIZAGA,38",MONZON,22400,E.S. bon¿rea MonzÛn G035,41.918749,0.186993,41∞ 55' 07'',0∞ 11' 13'',1,1,,,,,1.043,1.184,,0.35
G036,24-03-21,Wednesday,BENZINERA,https://www.bonarea.com/benzinera/G036,"CRTA D'ARTESA A TREMP,KM 51",VILAMITJANA,25620,E.S. bon¿rea Vilamitjana G036,42.141187,0.929836,42∞ 08' 28'',0∞ 55' 47'',1,1,,,,,1.042,1.182,,0.35
G037,24-03-21,Wednesday,BENZINERA,https://www.bonarea.com/benzinera/G037,POL.IND. CAN TRIAS,VILADECAVALLS,8232,E.S. bon¿rea Viladecavalls G037,41.562567,1.979034,41∞ 33' 45'',1∞ 58' 44'',1,1,,,,,1.035,1.176,,0.35
G038,24-03-21,Wednesday,BENZINERA,https://www.bonarea.com/benzinera/G038,P. I. les Gavarreres Avda. Madrid 38-44,ODENA,8711,E.S. bon¿rea Odena G038,41.577437,1.656985,41∞ 34' 38'',1∞ 39' 25'',1,1,,1,1,,1.036,1.176,,0.35
G039,24-03-21,Wednesday,BENZINERA,https://www.bonarea.com/benzinera/G039,AVDA. DE LA RAPITA 226,AMPOSTA,43870,E.S. bon¿rea Amposta G039,40.698883,0.579255,40∞ 41' 55'',0∞ 34' 45'',1,1,,1,,,1.041,1.182,,0.35
G041,24-03-21,Wednesday,BENZINERA,https://www.bonarea.com/benzinera/G041,CL SOTA EL BARRI DE LA CREU SANT PERE,JORBA,8719,E.S. bon¿rea Jorba G041,41.602843,1.539901,41∞ 36' 10'',1∞ 32' 23'',1,1,1,1,1,,1.036,1.177,1.215,0.35
G042,24-03-21,Wednesday,BENZINERA,https://www.bonarea.com/benzinera/G042,"AV.BERTRAN GUEL,17",GAVA,8850,E.S. bon¿rea Gav‡ G042,41.299974,2.008942,41∞ 17' 59'',2∞ 00' 32'',1,1,,,,1,1.034,1.175,1.213,0.35
